Movie_Name,Total_Dialogues,Total_Words,Positive_Emotion,Negative_Emotion,Overall_Vibe,Budget,Revenue,Is_Sequel,Holiday_Release,Genre,Is_A_Rated,Runtime,Director,Actors
Dabangg (tt1620719),2178,8730,0.167,0.104,1,42,221,0,1,"Action, Comedy, Crime",0,126,Abhinav Kashyap,"Salman Khan, Sonakshi Sinha, Sonu Sood"
Dabangg 3 (tt7059844),2178,8730,0.167,0.104,1,100,230,1,1,"Action, Comedy, Crime",0,160,Prabhu Deva,"Salman Khan, Sudeep, Sonakshi Sinha"
Daddy Cool (tt1388394),1650,6249,0.17,0.145,1,13,6.03,0,0,Drama,0,136,Aashiq Abu,"Mammootty, Ashish Vidyarthi, Biju Menon"
Damadamm! (tt1503640),2414,10784,0.254,0.083,1,5,0.91,0,1,"Comedy, Drama, Romance",0,122,Swapna Joshi,"Himesh Reshammiya, Sonal Sehgal, Purbi Joshi"
Dangal (tt5074352),2578,11240,0.188,0.11,1,70,2070,0,1,"Action, Biography, Drama",0,161,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh"
Dangerous Ishq (tt1971365),2010,8506,0.129,0.115,1,26,96,0,0,"Fantasy, Mystery, Romance",0,130,Vikram Bhatt,"Karisma Kapoor, Rajneesh Duggal, Divya Dutta"
Darling (tt0875581),2606,10833,0.227,0.094,1,10,23.65,0,0,Drama,1,94,Johan Kling,"Michelle Meadows, Michael Segerstr�m, Richard Ulfs�ter"
Darlings (tt14152140),2606,10833,0.227,0.094,1,25,80,0,0,"Comedy, Drama, Thriller",1,133,Jasmeet K Reen,"Alia Bhatt, Shefali Shah, Vijay Varma"
Darna Mana Hai (tt0349333),1401,6489,0.077,0.151,-1,4.5,8.31,1,0,Horror,0,121,Prawaal Raman,"Saif Ali Khan, Boman Irani, Nana Patekar"
Darr @ the Mall (tt3449320),1717,6383,0.151,0.118,1,16,7.84,0,0,"Horror, Thriller",1,124,Pavan Kirpalani,"Jimmy Shergill, Nushrratt Bharuccha, Arif Zakaria"
Dassehra (tt2759338),1042,5722,0.152,0.114,1,2,0.28,0,0,"Action, Thriller",1,131,"Manish Vatssalya, Saurabh Choudhary","Neil Nitin Mukesh, Tina Desai, Manish Vatssalya"
Dasvi (tt14107554),2213,10327,0.15,0.105,1,28,129.23,0,0,"Comedy, Drama",0,125,Tushar Jalota,"Abhishek Bachchan, Nimrat Kaur, Yami Gautam"
Dasvidaniya (tt1288638),1993,8415,0.171,0.105,1,4,1.87,0,0,"Comedy, Drama",0,113,Shashant Shah,"Vinay Pathak, Sarita Joshi, Rajat Kapoor"
David (tt12993628),1180,5980,0.145,0.11,1,6,8.4,0,0,Drama,1,118,Bejoy Nambiar,"Lara Dutta, Remo Fernandes, Jiiva"
Days of Tafree (tt5909308),1830,8470,0.145,0.092,1,2,1.99,0,0,Comedy,0,155,Krishnadev Yagnik,"Yash Soni, Ansh Bagri, Sarabjeet Bindra"
De Dana Dan (tt1255951),4079,18565,0.109,0.072,1,60,81.9,0,0,"Comedy, Crime",0,162,Priyadarshan,"Akshay Kumar, Suniel Shetty, Katrina Kaif"
De De Pyaar De (tt8647400),2877,12689,0.142,0.085,1,75,113.74,0,0,"Comedy, Drama, Romance",0,135,Akiv Ali,"Ajay Devgn, Tabu, Rakul Preet Singh"
De De Pyaar De 2 (tt28802657),3152,14779,0.167,0.116,1,135,129.35,1,0,"Comedy, Romance",0,146,Anshul Sharma,"Ajay Devgn, Rakul Preet Singh, Madhavan"
De Taali (tt1024839),2597,11470,0.197,0.092,1,12,12.15,0,0,"Comedy, Drama, Romance",0,140,Eeshwar Nivas,"Aftab Shivdasani, Riteish Deshmukh, Ayesha Takia"
Dear Dad (tt5615116),1372,5580,0.169,0.078,1,1.55,0.13,0,0,"Drama, Family",0,95,Tanuj Bhramar,"Arvind Swamy, Ekavali Khanna, Himanshu Sharma"
Dear Maya (tt6033536),1681,7903,0.109,0.046,1,7.5,0.48,0,0,"Drama, Romance",0,111,Sunaina Bhatnagar,"Manisha Koirala, Madiha Imam, Shreya Chaudhry"
Dear Zindagi (tt5946128),68,311,0.156,0.03,0.987,30,139,0,0,"Drama, Romance",0,151,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor"
Dedh Ishqiya (tt2675978),2129,9291,0.168,0.101,1,37,45.63,1,0,"Comedy, Drama, Romance",1,152,Abhishek Chaubey,"Madhuri Dixit, Huma Qureshi, Naseeruddin Shah"
Deewaanapan (tt0301179),2136,9263,0.188,0.084,1,6,8.9,0,1,"Action, Romance",0,153,Asshu Trikha,"Arjun Rampal, Dia Mirza, Vinod Khanna"
Deewane (tt0255097),3081,14370,0.192,0.122,1,10,12.15,0,0,"Action, Romance",0,165,Harry Baweja,"�Ajay Devgn, Urmila Matondkar, and Mahima Chaudhary"
Deewane Huye Paagal (tt0444781),1477,7285,0.145,0.094,1,20,26.58,0,0,"Action, Comedy, Drama",0,158,Vikram Bhatt,"Shahid Kapoor, Akshay Kumar, Suniel Shetty"
Deewangee (tt0337971),2271,10684,0.18,0.164,0.999,9,22,0,0,"Crime, Drama, Mystery",0,169,Anees Bazmee,"Ajay Devgn, Akshaye Khanna, Urmila Matondkar"
Dehati Disco (tt13989278),1443,7135,0.198,0.111,1,10,0.1,0,0,"Comedy, Musical",0,122,"Manoj Sharma, Goswami Mahesh Gari Tulsigiri","Ganesh Acharya, Ravi Kishan, Manoj Joshi"
Dehraadun Diary (tt2613942),2230,8384,0.177,0.123,1,9,0.35,0,0,Thriller,0,110,Milind Ukey,"Adhyayan Suman, Rati Agnihotri, Muntazir Ahmad"
Dekh Tamasha Dekh (tt3672618),1847,8521,0.108,0.161,-1,2.25,0.18,0,0,Comedy,1,110,Feroz Abbas Khan,"Satish Kaushik, Tanvi Azmi, Vinay Jain"
